# Stochastic delayed Mathieu, period P=4π > delay τ=2π. Multiplicative noise.
# category: Engineering/parametric  d=2  T=12.5664  maxτ=6.28319
q,order,p,rho,cputime,abserr
0,1,10,0.177526640637,0.0044411,0.0215657800153
0,1,20,0.168720402843,0.0078046,0.0127595422212
0,1,40,0.172100278451,0.017241,0.0161394178296
0,1,80,0.166630871858,0.0425436,0.0106700112361
2,2,10,0.171232920443,0.0074024,0.0152720598215
2,2,20,0.160211086624,0.0139345,0.00425022600204
2,2,40,0.157613203186,0.0293397,0.00165234256425
2,2,80,0.15652349419,0.0680917,0.000562633568392
4,3,10,0.172530937957,0.0105426,0.0165700773357
4,3,20,0.16008605763,0.0208894,0.00412519700804
4,3,40,0.156629165635,0.0536628,0.00066830501308
4,3,80,0.155940164427,0.1083462,2.06961952337e-05
# rho_ref=0.1559608606217
