# Lotka–Volterra-type predator-prey, gestation delay, demographic noise.
# category: Ecology  d=2  T=6.28319  maxτ=1.0
q,order,p,rho,cputime,abserr
0,1,32,0.296073135102,0.010127,0.00469683934423
0,1,64,0.293091811269,0.0193012,0.00171551551056
0,1,128,0.291770644813,0.0402119,0.000394349054883
0,1,256,0.29115091674,0.0874483,0.000225379018579
2,2,32,0.291910413708,0.0197451,0.000534117949743
2,2,64,0.291626061454,0.0382429,0.000249765696076
2,2,128,0.291484137115,0.0785517,0.00010784135711
2,2,256,0.291413329701,0.1809299,3.70339428011e-05
4,3,32,0.291912553443,0.0297152,0.000536257684471
4,3,64,0.291626308451,0.0587108,0.000250012692376
4,3,128,0.291484151579,0.1424672,0.000107855820801
4,3,256,0.291413326277,0.3025665,3.70305187572e-05
# rho_ref=0.2913762957582
