# d=4: two coupled delayed oscillators (3? actually 2-DOF chain). Higher-dim, additive noise.
# category: Engineering/highdim  d=4  T=6.28319  maxτ=1.5
q,order,p,rho,cputime,abserr
0,1,21,1.65734244808,0.0130458,0.0148051089862
0,1,42,1.6561154314,0.0255198,0.0135780923081
0,1,84,1.65048239079,0.0573526,0.00794505169622
0,1,168,1.64637276286,1.896897,0.00383542376182
2,2,21,1.64232098971,0.0322408,0.000216349387426
2,2,42,1.64253048043,0.0703713,6.85866745687e-06
2,2,84,1.64253776064,0.1653411,4.21542738938e-07
2,2,168,1.6425374651,1.6406781,1.26008182555e-07
4,3,21,1.64252976792,0.0762024,7.57117042149e-06
4,3,42,1.64253719174,0.1587531,1.47358738545e-07
4,3,84,1.64253733597,0.4806872,3.12931458524e-09
4,3,168,1.64253733902,2.7301382,7.11597447633e-11
# rho_ref=1.642537339095
