# 2D oscillator with TWO delays τ₁=1, τ₂=2 + multiplicative noise. Multi-delay.
# category: Engineering/multi-delay  d=2  T=6.28319  maxτ=2.0
q,order,p,rho,cputime,abserr
0,1,32,1.10491657033,0.0131813,0.00996790065434
0,1,64,1.09041212385,0.0280073,0.00453654583049
0,1,128,1.07844879141,0.0668954,0.0164998782721
0,1,256,1.09795774951,1.502763,0.00300907983535
2,2,32,1.09500419653,0.0267075,5.55268531404e-05
2,2,64,1.09493184288,0.0550631,1.68267966405e-05
2,2,128,1.09493430755,0.1967196,1.43621252633e-05
2,2,256,1.09494944904,1.6272833,7.79364683012e-07
4,3,32,1.09495150953,0.0410988,2.83985222116e-06
4,3,64,1.09495027843,0.0869535,1.60874910504e-06
4,3,128,1.09494918968,0.2061914,5.19999123982e-07
4,3,256,1.09494879381,1.7685232,1.24132162771e-07
# rho_ref=1.094948669679
