# Linearized delayed bistable system near threshold; strong multiplicative noise.
# category: Physics  d=1  T=1.0  maxτ=1.0
q,order,p,rho,cputime,abserr
0,1,8,0.900274587449,0.0036666,4.73552132044e-05
0,1,16,0.900272179985,0.0072151,4.49477488652e-05
0,1,32,0.900292090443,0.0176528,6.48582069115e-05
0,1,64,0.900307508046,0.0507984,8.02758099213e-05
2,2,8,0.898705228924,0.0059231,0.00152200331181
2,2,16,0.899503132913,0.0116196,0.00072409932241
2,2,32,0.899911640192,0.0267379,0.000315592043281
2,2,64,0.90011832235,0.071081,0.000108909885728
4,3,8,0.898705228492,0.0079068,0.00152200374417
4,3,16,0.899503132833,0.0164284,0.000724099402515
4,3,32,0.899911640181,0.0367731,0.000315592054857
4,3,64,0.900118322348,0.0935297,0.000108909887271
# rho_ref=0.9002272322357
