# Stochastic Hayes dx=(Ax+Bx(t-1))dt+βx(t-1)dW; A=-1.0,B=-0.4,β=0.3,τ=1; trusted SDM
q,order,p,rho,cputime,abserr
q0,0,8,0.166412816306,0.0017442,0.0189658601108
q0,0,16,0.156723395401,0.0039948,0.00927643920502
q0,0,32,0.152004574134,0.011529,0.00455761793846
q0,0,64,0.149677054511,0.0426657,0.00223009831574
q0,0,128,0.148521316699,0.2150942,0.00107436050304
q0,0,256,0.147945459279,1.8278659,0.000498503083237
q1,1,8,0.14242452814,0.001846,0.00502242805514
q1,1,16,0.144423540294,0.0040957,0.00302341590126
q1,1,32,0.145748336791,0.0117913,0.00169861940443
q1,1,64,0.146514976072,0.0404827,0.00093198012408
q1,1,128,0.146929985188,0.1501091,0.000516971007336
q1,1,256,0.14714677964,1.9468974,0.000300176555582
q2,2,8,0.152489494647,0.0021203,0.00504253845181
q2,2,16,0.150329344319,0.0047525,0.00288238812301
q2,2,32,0.148987303277,0.0133181,0.00154034708169
q2,2,64,0.148222816359,0.0447069,0.000775860163758
q2,2,128,0.147810189972,0.1843993,0.000363233776071
q2,2,256,0.147594499377,2.3489337,0.000147543181087
q3,3,8,0.152270713189,0.0040242,0.00482375699292
q3,3,16,0.150270159258,0.0051516,0.00282320306246
q3,3,32,0.148970049702,0.014397,0.00152309350657
q3,3,64,0.148217698371,0.0477391,0.000770742175529
q3,3,128,0.147808682261,0.2121763,0.000361726065781
q3,3,256,0.147594061549,1.8963206,0.000147105353522
q4,4,8,0.162416401501,0.0029761,0.0149694453051
q4,4,16,0.156180786262,0.0066177,0.0087338300668
q4,4,32,0.152199755596,0.0435278,0.00475279940058
q4,4,64,0.149919178425,0.0532208,0.00247222222913
q4,4,128,0.148686023669,0.1997106,0.00123906747301
q4,4,256,0.148040703476,2.0136375,0.000593747279987
q5,5,8,0.162514947461,0.0034236,0.0150679912659
q5,5,16,0.156207369649,0.0068209,0.00876041345299
q5,5,32,0.152205221962,0.0207792,0.0047582657665
q5,5,64,0.149919984945,0.063851,0.00247302874975
q5,5,128,0.148686044703,0.2679452,0.00123908850758
q5,5,256,0.14804065754,2.0680854,0.000593701344229
# rho_ref=0.1474469561956
