mode,S,p,rho,err
none,1,6,0.7404485936536298,0.0014909009722540167
none,1,8,0.73979866621974,0.0008409735383642092
none,1,12,0.7393353088154848,0.0003776161341090267
none,1,16,0.7391735133611483,0.00021582067977254926
none,1,24,0.7390581632351161,0.00010047055374029501
none,1,32,0.7390178566747498,6.016399337405165e-5
none,1,48,0.7389890987122287,3.140603085294291e-5
none,2,6,0.7388433374403174,0.00011435524105840589
none,2,8,0.7388953694872644,6.232319411136888e-5
none,2,12,0.7389340148321637,2.3677849212089264e-5
none,2,16,0.738947895179648,9.797501727804026e-6
none,2,24,0.7389579539575544,2.612761785814044e-7
none,2,32,0.7389615107042264,3.818022850654579e-6
none,2,48,0.7389640666684412,6.37398706537784e-6
none,3,6,0.738841408993157,0.00011628368821881008
none,3,8,0.738894756821957,6.293585941874458e-5
none,3,12,0.7389338937173149,2.379896406090598e-5
none,3,16,0.7389478568889527,9.835792423085188e-6
none,3,24,0.7389579464058946,2.537245188394266e-7
none,3,32,0.7389615083174048,3.815636029025349e-6
none,3,48,0.7389640661975632,6.373516187374584e-6
causal,1,6,0.7406115639618105,0.0016538712804347044
causal,1,8,0.739895803862372,0.0009381111809961817
causal,1,12,0.7393808163006563,0.000423123619280541
causal,1,16,0.7391997421261605,0.0002420494447846755
causal,1,24,0.7390700917192787,0.00011239903790294381
causal,1,32,0.7390246406374679,6.694795609207826e-5
causal,1,48,0.738992146116533,3.4453435157177914e-5
causal,2,6,0.7389680089376804,1.0316256304654381e-5
causal,2,8,0.738966727219251,9.034537875263204e-6
causal,2,12,0.7389662451460965,8.55246472075688e-6
causal,2,16,0.7389661634085802,8.470727204445971e-6
causal,2,24,0.7389661329498727,8.440268496889836e-6
causal,2,32,0.738966127814088,8.43513271220342e-6
causal,2,48,0.7389661259047584,8.433223382620092e-6
causal,3,6,0.7389661362816511,8.443600275298557e-6
causal,3,8,0.7389661273939854,8.43471260958406e-6
causal,3,12,0.738966125610939,8.432929563206848e-6
causal,3,16,0.73896612546683,8.43278545425985e-6
causal,3,24,0.7389661254375237,8.432756147924714e-6
causal,3,32,0.738966125435051,8.432753675235993e-6
causal,3,48,0.7389661254345088,8.432753133003068e-6
