method,p,D,time_s,rho,err
SDM0,4,55,0.000390,0.7210250928,1.794103e-02
SDM1,4,55,0.000393,0.7402526348,1.286509e-03
SDM2,4,78,0.000764,0.7374079929,1.558132e-03
GL1,4,210,0.001353,0.7426262888,3.660163e-03
GL2,4,465,0.002565,0.7389753964,9.270974e-06
GL3,4,820,0.004234,0.7389662453,1.198920e-07
SDM0,5,78,0.000636,0.7244931570,1.447297e-02
SDM1,5,78,0.000669,0.7401370208,1.170895e-03
SDM2,5,105,0.000952,0.7376338288,1.332297e-03
GL1,5,300,0.001978,0.7413257306,2.359605e-03
GL2,5,666,0.003609,0.7389699929,3.867524e-06
GL3,5,1176,0.005963,0.7389661575,3.205912e-08
SDM0,6,105,0.000762,0.7268406917,1.212543e-02
SDM1,6,105,0.000819,0.7400260653,1.059940e-03
SDM2,6,136,0.001137,0.7377995122,1.166613e-03
GL1,6,406,0.002311,0.7406115640,1.645439e-03
GL2,6,903,0.004683,0.7389680089,1.883538e-06
GL3,6,1596,0.007582,0.7389661363,1.088165e-08
SDM0,7,136,0.001011,0.7285342075,1.043192e-02
SDM1,7,136,0.001062,0.7399292588,9.631334e-04
SDM2,7,171,0.001260,0.7379273078,1.038818e-03
GL1,7,528,0.002762,0.7401782132,1.212088e-03
GL2,7,1176,0.005822,0.7389671481,1.022721e-06
GL3,7,2080,0.009800,0.7389661298,4.371151e-09
SDM0,9,210,0.001368,0.7308131865,8.152939e-03
SDM1,9,210,0.001456,0.7397759262,8.098008e-04
SDM2,9,253,0.001923,0.7381125687,8.535567e-04
GL1,9,820,0.003973,0.7397016402,7.355148e-04
GL2,9,1830,0.009357,0.7389665021,3.767198e-07
GL3,9,3240,0.018970,0.7389661264,1.007138e-09
SDM0,11,300,0.001894,0.7322755640,6.690561e-03
SDM1,11,300,0.001958,0.7396628714,6.967460e-04
SDM2,11,351,0.002371,0.7382408842,7.252412e-04
GL1,11,1176,0.005872,0.7394593462,4.932208e-04
GL2,11,2628,0.015890,0.7389662948,1.693976e-07
GL3,11,4656,0.049389,0.7389661257,3.299487e-10
SDM0,13,406,0.002370,0.7332933578,5.672768e-03
SDM1,13,406,0.002394,0.7395770001,6.108747e-04
SDM2,13,465,0.003008,0.7383352141,6.309113e-04
GL1,13,1596,0.008409,0.7393196434,3.535180e-04
GL2,13,3570,0.030186,0.7389662124,8.702219e-08
GL3,13,6328,0.045892,0.7389661255,1.443956e-10
SDM0,16,595,0.003210,0.7343474738,4.618652e-03
SDM1,16,595,0.003441,0.7394814689,5.153435e-04
SDM2,16,666,0.003975,0.7384377806,5.283448e-04
GL1,16,2346,0.013853,0.7391997421,2.336167e-04
GL2,16,5253,0.034209,0.7389661634,3.800858e-08
GL3,16,9316,0.099230,0.7389661255,6.683010e-11
SDM0,20,903,0.004679,0.7352646840,3.701441e-03
SDM1,20,903,0.004935,0.7393925331,4.264077e-04
SDM2,20,990,0.005848,0.7385315050,4.346204e-04
GL1,20,3570,0.055350,0.7391157617,1.496363e-04
GL2,20,8001,0.087009,0.7389661410,1.560769e-08
GL3,20,14196,0.192635,0.7389661254,4.325074e-11
SDM0,24,1275,0.006543,0.7358780063,3.088119e-03
SDM1,24,1275,0.006900,0.7393298405,3.637151e-04
SDM2,24,1378,0.007812,0.7385967481,3.693773e-04
GL1,24,5050,0.054120,0.7390700917,1.039663e-04
GL2,24,11325,0.154281,0.7389661329,7.549873e-09
GL3,24,20100,0.233777,0.7389661254,3.752376e-11
SDM0,30,1953,0.010527,0.7364927871,2.473338e-03
SDM1,30,1953,0.010434,0.7392642265,2.981011e-04
SDM2,30,2080,0.011790,0.7386644200,3.017054e-04
GL1,30,7750,0.113122,0.7390326952,6.656982e-05
GL2,30,17391,0.252618,0.7389661285,3.114582e-09
GL3,30,30876,0.436358,0.7389661254,3.531264e-11
SDM0,37,2926,0.016762,0.7369589851,2.007140e-03
SDM1,37,2926,0.016150,0.7392124960,2.463706e-04
SDM2,37,3081,0.017388,0.7387173907,2.487347e-04
GL1,37,11628,0.203315,0.7390099040,4.377865e-05
GL2,37,26106,0.429444,0.7389661268,1.366165e-09
GL3,37,46360,1.005898,0.7389661254,3.471334e-11
SDM0,45,4278,0.024400,0.7373147322,1.651393e-03
SDM1,45,4278,0.023344,0.7391717977,2.056723e-04
SDM2,45,4465,0.025634,0.7387588553,2.072701e-04
GL1,45,17020,0.321878,0.7389957292,2.960376e-05
GL2,45,38226,0.923105,0.7389661260,6.432499e-10
GL3,45,67896,2.246570,0.7389661254,3.453704e-11
SDM0,55,6328,0.036470,0.7376142476,1.351878e-03
SDM1,55,6328,0.034816,0.7391366582,1.705328e-04
SDM2,55,6555,0.038131,0.7387945217,1.716037e-04
GL1,55,25200,0.565353,0.7389859467,1.982131e-05
GL2,55,56616,1.740304,0.7389661257,3.073142e-10
GL3,55,100576,4.549719,0.7389661254,3.447753e-11
SDM0,67,9316,0.054758,0.7378558887,1.110237e-03
SDM1,67,9316,0.051475,0.7391076905,1.415651e-04
SDM2,67,9591,0.055669,0.7388238371,1.422883e-04
GL1,67,37128,1.183802,0.7389794844,1.335904e-05
GL2,67,83436,4.031027,0.7389661256,1.583662e-10
SDM0,82,13861,0.085349,0.7380586488,9.074766e-04
SDM1,82,13861,0.076860,0.7390829321,1.168067e-04
SDM2,82,14196,0.081970,0.7388488345,1.172909e-04
GL1,82,55278,2.232628,0.7389750451,8.919734e-06
SDM0,100,20503,0.119672,0.7382217763,7.443491e-04
SDM1,100,20503,0.113897,0.7390626963,9.657093e-05
SDM2,100,20910,0.119262,0.7388692278,9.689759e-05
GL1,100,81810,5.418216,0.7389721236,5.998229e-06
SDM0,122,30381,0.160574,0.7383558566,6.102688e-04
SDM1,122,30381,0.167037,0.7390458403,7.971485e-05
SDM2,122,30876,0.174882,0.7388861903,7.993509e-05
SDM0,150,45753,0.249411,0.7384696724,4.964530e-04
SDM1,150,45753,0.261221,0.7390313646,6.523920e-05
SDM2,150,46360,0.269585,0.7389007400,6.538543e-05
SDM0,183,67896,0.396354,0.7385591318,4.069936e-04
SDM1,183,67896,0.407367,0.7390198732,5.374777e-05
SDM2,183,68635,0.433372,0.7389122791,5.384635e-05
SDM0,224,101475,0.672193,0.7386335821,3.325433e-04
SDM1,224,101475,0.690821,0.7390102295,4.410409e-05
SDM2,224,102378,0.707461,0.7389219553,4.417009e-05
SDM0,273,150426,1.014314,0.7386932404,2.728850e-04
SDM1,273,150426,1.037169,0.7390024466,3.632120e-05
SDM2,273,151525,1.085068,0.7389297596,3.636576e-05
SDM0,334,224785,1.625711,0.7387430590,2.230664e-04
SDM1,334,224785,1.660221,0.7389959079,2.978249e-05
SDM2,334,226128,1.619965,0.7389363131,2.981233e-05
SDM0,409,336610,2.426072,0.7387839504,1.821750e-04
SDM1,409,336610,2.474980,0.7389905127,2.438734e-05
SDM2,409,338253,2.551495,0.7389417181,2.440728e-05
SDM0,500,502503,3.878519,0.7388170975,1.490279e-04
SDM1,500,502503,3.945261,0.7389861199,1.999450e-05
SDM2,500,504510,3.865609,0.7389461175,2.000785e-05
